SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Millbank - Avoca,319011500,247.0,7493.0,2953.0,3450.0,2597,536.0,795.0,845,26
Millicent,407021152,30.0,5396.0,2120.0,2539.0,2030,262.0,742.0,562,3
Millmerran,307021181,12.0,3345.0,1135.0,1524.0,1406,201.0,273.0,360,3
Millner,701021023,1243.0,2737.0,893.0,1112.0,1339,486.0,306.0,422,20
Mitchell Park,403021061,656.0,15405.0,6034.0,7155.0,6244,2945.0,1630.0,2519,5
Modbury Heights,402051053,133.0,19205.0,7068.0,7683.0,9585,2575.0,3276.0,1291,0
Moffat Beach - Battery Hill,316021422,32.0,8112.0,3018.0,4027.0,3403,1281.0,755.0,1046,10
Moil,701021024,1243.0,2137.0,640.0,730.0,978,323.0,241.0,206,16
Moira,216021412,29.0,2623.0,976.0,1407.0,1187,204.0,351.0,150,0
Molonglo,801101137,278.0,38.0,9.0,0,3,0.0,6.0,0,0
Monterey - Brighton-le-Sands - Kyeemagh,119041380,799.5,14883.0,5266.0,6381.0,6560,2647.0,1280.0,2078,0
Monto - Eidsvold,319021508,24.0,3870.0,1449.0,2204.0,1502,223.0,339.0,406,8
Moonta,405041125,21.0,4938.0,1783.0,3401.0,1603,307.0,460.0,508,0
Moora,509021241,16.0,4855.0,1712.0,2393.0,2314,378.0,436.0,561,3
Moranbah,312011341,12.0,9045.0,2606.0,4137.0,4328,825.0,411.0,2124,29
Morawa,511041291,9.0,4090.0,1561.0,2595.0,1865,290.0,313.0,527,0
Moree,110031195,39.5,8509.0,2890.0,3895.0,3295,663.0,791.0,1252,30
Moree Region,110031196,72.3,5637.0,1953.0,2552.0,2485,432.0,393.0,745,16
Morisset - Cooranbong,111021218,446.2,15276.0,4992.0,6312.0,5661,1752.0,1572.0,1197,18
Mornington,214021380,94.0,25030.0,8955.0,11320.0,10171,3574.0,3154.0,2247,0
Moruya - Tuross Head,101041026,56.1,8070.0,3144.0,4667.0,2875,991.0,809.0,766,13
Mount Annan - Currans Hill,123011435,56.0,29329.0,7391.0,9358.0,15309,3261.0,4695.0,1874,4
Mount Barker,401021007,46.0,17639.0,5557.0,7053.0,8232,2382.0,2340.0,1932,8
Mount Barker Region,401021008,46.0,6341.0,2167.0,2597.0,3243,876.0,1129.0,259,6
Mount Druitt - Whalan,116031317,109.5,23501.0,6681.0,7647.0,7946,2843.0,2000.0,3344,12
Mount Gambier - East,407021173,96.0,0,0,6559.0,6730,1165.0,0,1745,8
Mount Isa,315021405,85.0,19271.0,6288.0,8281.0,8941,1759.0,2152.0,2867,122
Mount Isa Region,315021406,100.0,3458.0,1012.0,2029.0,1684,286.0,162.0,573,26
Mount Johns,702011049,319.0,4007.0,1300.0,1794.0,2149,825.0,364.0,745,3
Mount Louisa,318021484,749.0,9476.0,2674.0,3636.0,4765,1085.0,1269.0,1167,61
